,0
337,243.82411
338,243.20105
339,242.7304
340,242.13226
341,241.4963
342,241.02634
343,240.52937
344,239.94496
345,239.44461
346,239.00104
347,238.49673
348,237.98384
349,237.54883
350,237.11018
351,236.62488
352,236.17955
353,235.77003
354,235.3368
355,234.89606
356,234.48787
357,234.09653
358,233.6864
359,233.28043
360,232.90385
361,232.53021
362,232.14737
363,231.77504
364,231.421
365,231.07045
366,230.71503
367,230.36862
368,230.03654
369,229.70619
370,229.3746
371,229.04941
372,228.73332
373,228.4211
374,228.10786
375,227.79788
376,227.495
377,227.19548
378,226.89607
379,226.59818
380,226.3045
381,226.01479
382,225.72626
383,225.4384
384,225.15335
385,224.87189
386,224.59311
387,224.31604
388,224.0409
389,223.76895
390,223.50084
391,223.2358
392,222.9735
393,222.71419
394,222.45856
395,222.20694
396,221.95906
397,221.71445
398,221.47327
399,221.23557
400,221.00156
401,220.77113
402,220.54398
403,220.31976
404,220.09845
405,219.87997
406,219.66428
407,219.45125
408,219.24062
409,219.03207
410,218.82559
411,218.621
412,218.41818
413,218.21707
414,218.01749
415,217.8193
416,217.62234
417,217.42653
418,217.2317
419,217.03787
420,216.84488
421,216.6527
422,216.46129
423,216.27058
424,216.08049
425,215.89105
426,215.70224
427,215.5141
428,215.32661
429,215.13986
430,214.95398
431,214.76895
432,214.58496
433,214.40208
434,214.22044
435,214.04018
436,213.86139
437,213.68422
438,213.50883
439,213.33527
440,213.1637
441,212.99414
442,212.82672
443,212.6615
444,212.49849
445,212.33774
446,212.17932
447,212.02336
448,211.87007
449,211.71994
450,211.5741
451,211.43484
452,211.30725
453,211.20264
454,211.14513
455,211.18437
456,211.41768
457,211.96832
458,212.8812
459,213.57434
460,213.05692
461,211.17007
462,209.94945
463,210.49193
464,211.37807
465,210.89706
466,209.65138
467,209.51892
468,210.1865
469,210.03214
470,209.1816
471,208.98181
472,209.38884
473,209.26646
474,208.65683
475,208.53522
476,208.77827
477,208.59631
478,208.16934
479,208.11246
480,208.22481
481,208.02753
482,207.72314
483,207.6903
484,207.71944
485,207.52197
486,207.30276
487,207.26974
488,207.24014
489,207.06453
490,206.89638
491,206.84805
492,206.79015
493,206.63551
494,206.49408
495,206.43233
496,206.35855
497,206.222
498,206.0958
499,206.02066
500,205.93991
501,205.81819
502,205.69888
503,205.61368
504,205.5297
505,205.41864
506,205.30423
507,205.21126
508,205.12447
509,205.02216
510,204.9122
511,204.81357
512,204.72424
513,204.62823
514,204.5236
515,204.42271
516,204.33029
517,204.23811
518,204.1401
519,204.04045
520,203.94576
521,203.85513
522,203.76309
523,203.66803
524,203.57385
525,203.48337
526,203.39496
527,203.30571
528,203.21527
529,203.12592
530,203.03902
531,202.95367
532,202.86826
533,202.78235
534,202.69714
535,202.6135
536,202.5312
537,202.44926
538,202.36719
539,202.28535
540,202.2044
541,202.1244
542,202.045
543,201.96573
544,201.88646
545,201.80746
546,201.72902
547,201.65108
548,201.5734
549,201.49576
550,201.41817
551,201.34065
552,201.26338
553,201.18633
554,201.10942
555,201.03247
556,200.95547
557,200.87845
558,200.80142
559,200.72443
560,200.64743
561,200.57037
562,200.49321
563,200.4159
564,200.33844
565,200.26086
566,200.18314
567,200.1053
568,200.02725
569,199.949
570,199.87054
571,199.79182
572,199.71286
573,199.63364
574,199.55415
575,199.4744
576,199.39435
577,199.31396
578,199.23325
579,199.15215
580,199.07071
581,198.9889
582,198.90668
583,198.82407
584,198.74103
585,198.65753
586,198.57361
587,198.48918
588,198.4043
589,198.31885
590,198.23293
591,198.14645
592,198.05945
593,197.97183
594,197.88364
595,197.79483
596,197.70541
597,197.61537
598,197.52463
599,197.4332
600,197.34108
601,197.24825
602,197.15463
603,197.06029
604,196.96512
605,196.8692
606,196.77242
607,196.67477
608,196.57623
609,196.47682
610,196.3765
611,196.2752
612,196.17294
613,196.06972
614,195.96544
615,195.86012
616,195.75371
617,195.64622
618,195.5376
619,195.42784
620,195.3169
621,195.20477
622,195.09145
623,194.97688
624,194.86107
625,194.74411
626,194.62598
627,194.5069
628,194.38707
629,194.26717
630,194.14822
631,194.03244
632,193.92395
633,193.83095
634,193.76917
635,193.76749
636,193.87811
637,194.16724
638,194.69493
639,195.30447
640,195.54709
641,194.7746
642,193.34872
643,192.46255
644,192.71927
645,193.36964
646,193.3004
647,192.44724
648,191.79907
649,191.9419
650,192.27774
651,192.04196
652,191.42119
653,191.12988
654,191.28198
655,191.32567
656,190.9656
657,190.5661
658,190.48523
659,190.53964
660,190.38016
661,190.04047
662,189.81934
663,189.7812
664,189.70697
665,189.47232
666,189.21117
667,189.0708
668,188.9924
669,188.83667
670,188.60196
671,188.39871
672,188.26921
673,188.14099
674,187.95184
675,187.73474
676,187.55269
677,187.40587
678,187.24373
679,187.04352
680,186.83563
681,186.65198
682,186.48308
683,186.29906
684,186.09236
685,185.8829
686,185.6868
687,185.49677
688,185.2958
689,185.08017
690,184.86107
691,184.64775
692,184.4368
693,184.21875
694,183.99005
695,183.7559
696,183.52232
697,183.28902
698,183.05092
699,182.80453
700,182.5513
701,182.29468
702,182.03603
703,181.7736
704,181.50461
705,181.22821
706,180.94562
707,180.65845
708,180.36679
709,180.06946
710,179.76523
711,179.45354
712,179.13495
713,178.81007
714,178.47906
715,178.14157
716,177.79678
717,177.44446
718,177.08441
719,176.717
720,176.34233
721,175.9605
722,175.57135
723,175.17459
724,174.77008
725,174.35759
726,173.93709
727,173.5084
728,173.07152
729,172.62619
730,172.17227
731,171.70947
732,171.23749
733,170.7561
734,170.26501
735,169.76396
736,169.25282
737,168.73135
738,168.19952
739,167.65718
740,167.10446
741,166.54132
742,165.96819
743,165.38544
744,164.7944
745,164.19707
746,163.59843
747,163.00803
748,162.44724
749,161.96132
750,161.64133
751,161.67023
752,162.25798
753,163.49196
754,164.18735
755,162.6504
756,158.80066
757,156.37106
758,157.01804
759,158.10776
760,156.82114
761,154.13509
762,153.1625
763,153.8363
764,153.51738
765,151.59451
766,150.13295
767,150.11046
768,150.02577
769,148.73984
770,147.23236
771,146.6373
772,146.4565
773,145.66061
774,144.32619
775,143.31204
776,142.8315
777,142.29398
778,141.30307
779,140.14398
780,139.25647
781,138.63475
782,137.94353
783,136.99225
784,135.92186
785,134.96773
786,134.18188
787,133.4302
788,132.57169
789,131.58911
790,130.56918
791,129.60274
792,128.71152
793,127.85631
794,126.984314
795,126.063995
796,125.095276
797,124.096725
798,123.09033
799,122.089676
