time;c
1572;0.999679722
1574;0.999695335
1576;0.999710948
1578;0.999726562
1580;0.999742175
1582;0.999757789
1584;0.999773402
1586;0.99978891
1588;0.999798606
1590;0.999808302
1592;0.999817998
1594;0.999827694
1596;0.99983739
1598;0.999847086
1600;0.999856782
1602;0.999866478
1604;0.999876174
1606;0.99988587
1608;0.999895566
1610;0.999905262
1612;0.999914958
1614;0.999924654
1616;0.999934251
1618;0.999938406
1620;0.999942561
1622;0.999946716
1624;0.99995087
1626;0.999955025
1628;0.99995918
1630;0.999963334
1632;0.999967489
1634;0.999971644
1636;0.999975799
1638;0.999979953
1640;0.999984108
1642;0.999988263
1644;0.999992418
1646;0.999996516
1648;0.999997485
1650;0.999998455
1652;0.999999424
1654;1.000000394
1656;1.000001363
1658;1.000002333
1660;1.000003302
1662;1.000004272
1664;1.000005241
1666;1.000006211
1668;1.00000718
1670;1.00000815
1672;1.000009119
1674;1.000010089
1676;1.000011037
1678;1.000010772
1680;1.000010507
1682;1.000010243
1684;1.000009978
1686;1.000009713
1688;1.000009448
1690;1.000009184
1692;1.000008919
1694;1.000008654
1696;1.00000839
1698;1.000008125
1700;1.00000786
1702;1.000007596
1704;1.000007331
1706;1.000007064
1708;1.000006645
1710;1.000006226
1712;1.000005807
1714;1.000005388
1716;1.00000497
1718;1.000004551
1720;1.000004132
1722;1.000003713
1724;1.000003295
1726;1.000002876
1728;1.000002457
1730;1.000002038
1732;1.000001619
1734;1.000001201
1736;1.000000786
1738;1.00000057
1740;1.000000354
1742;1.000000138
1744;0.999999922
1746;0.999999706
1748;0.99999949
1750;0.999999274
1752;0.999999058
1754;0.999998842
1756;0.999998626
1758;0.99999841
1760;0.999998194
1762;0.999997978
1764;0.999997762
1766;0.999997549
1768;0.999997519
1770;0.999997489
1772;0.999997458
1774;0.999997428
1776;0.999997398
1778;0.999997367
1780;0.999997337
1782;0.999997307
1784;0.999997276
1786;0.999997246
1788;0.999997216
1790;0.999997185
1792;0.999997155
1794;0.999997125
1796;0.999997096
1798;0.99999715
1800;0.999997204
1802;0.999997258
1804;0.999997312
1806;0.999997366
1808;0.99999742
1810;0.999997474
1812;0.999997528
1814;0.999997582
1816;0.999997636
1818;0.99999769
1820;0.999997744
1822;0.999997798
1824;0.999997852
1826;0.999997906
1828;0.999997969
1830;0.999998033
1832;0.999998096
1834;0.999998159
1836;0.999998223
1838;0.999998286
1840;0.999998349
1842;0.999998412
1844;0.999998476
1846;0.999998539
1848;0.999998602
1850;0.999998666
1852;0.999998729
1854;0.999998792
1856;0.999998855
1858;0.999998898
1860;0.99999894
1862;0.999998983
1864;0.999999026
1866;0.999999068
1868;0.999999111
1870;0.999999154
1872;0.999999196
1874;0.999999239
1876;0.999999282
1878;0.999999324
1880;0.999999367
1882;0.99999941
1884;0.999999452
1886;0.999999495
1888;0.999999515
1890;0.999999536
1892;0.999999557
1894;0.999999578
1896;0.999999599
1898;0.999999619
1900;0.99999964
1902;0.999999661
1904;0.999999682
1906;0.999999703
1908;0.999999723
1910;0.999999744
1912;0.999999765
1914;0.999999786
1916;0.999999806
1918;0.999999814
1920;0.999999821
1922;0.999999829
1924;0.999999836
1926;0.999999843
1928;0.999999851
1930;0.999999858
1932;0.999999866
1934;0.999999873
1936;0.999999881
1938;0.999999888
1940;0.999999895
1942;0.999999903
1944;0.99999991
1946;0.999999918
1948;0.99999992
1950;0.999999921
1952;0.999999923
1954;0.999999925
1956;0.999999927
1958;0.999999929
1960;0.999999931
1962;0.999999932
1964;0.999999934
1966;0.999999936
1968;0.999999938
1970;0.99999994
1972;0.999999942
1974;0.999999943
1976;0.999999945
1978;0.999999946
1980;0.999999946
1982;0.999999947
1984;0.999999947
1986;0.999999947
1988;0.999999948
1990;0.999999948
1992;0.999999949
1994;0.999999949
1996;0.999999949
1998;0.99999995
2000;0.99999995
2002;0.999999951
2004;0.999999951
2006;0.999999952
2008;0.999999952
2010;0.999999952
2012;0.999999953
2014;0.999999953
2016;0.999999954
2018;0.999999954
2020;0.999999955
2022;0.999999955
2024;0.999999956
2026;0.999999956
2028;0.999999956
2030;0.999999957
2032;0.999999957
2034;0.999999958
2036;0.999999958
2038;0.999999959
2040;0.999999959
2042;0.99999996
2044;0.999999961
2046;0.999999961
2048;0.999999962
2050;0.999999962
2052;0.999999963
2054;0.999999964
2056;0.999999964
2058;0.999999965
2060;0.999999965
2062;0.999999966
2064;0.999999967
2066;0.999999967
2068;0.999999968
2070;0.999999968
2072;0.999999969
2074;0.99999997
2076;0.99999997
2078;0.999999971
2080;0.999999971
2082;0.999999972
2084;0.999999973
2086;0.999999973
2088;0.999999974
2090;0.999999974
2092;0.999999975
2094;0.999999976
2096;0.999999976
2098;0.999999977
2100;0.999999977
2102;0.999999978
2104;0.999999978
2106;0.999999979
2108;0.999999979
2110;0.99999998
2112;0.99999998
2114;0.999999981
2116;0.999999981
2118;0.999999982
2120;0.999999982
2122;0.999999982
2124;0.999999983
2126;0.999999983
2128;0.999999984
2130;0.999999984
2132;0.999999985
2134;0.999999985
2136;0.999999985
2138;0.999999986
2140;0.999999986
2142;0.999999987
2144;0.999999987
2146;0.999999987
2148;0.999999988
2150;0.999999988
2152;0.999999988
2154;0.999999989
2156;0.999999989
2158;0.999999989
2160;0.999999989
2162;0.99999999
2164;0.99999999
2166;0.99999999
2168;0.999999991
2170;0.999999991
2172;0.999999991
2174;0.999999991
2176;0.999999992
2178;0.999999992
2180;0.999999992
2182;0.999999992
2184;0.999999992
2186;0.999999993
2188;0.999999993
2190;0.999999993
2192;0.999999993
2194;0.999999993
2196;0.999999994
2198;0.999999994
2200;0.999999994
2202;0.999999994
2204;0.999999994
2206;0.999999994
2208;0.999999995
2210;0.999999995
2212;0.999999995
2214;0.999999995
2216;0.999999995
2218;0.999999995
2220;0.999999995
2222;0.999999995
2224;0.999999996
2226;0.999999996
2228;0.999999996
2230;0.999999996
2232;0.999999996
2234;0.999999996
2236;0.999999996
2238;0.999999996
2240;0.999999997
2242;0.999999997
2244;0.999999997
2246;0.999999997
2248;0.999999997
2250;0.999999997
2252;0.999999997
2254;0.999999997
2256;0.999999997
2258;0.999999997
2260;0.999999998
2262;0.999999998
2264;0.999999998
2266;0.999999998
2268;0.999999998
2270;0.999999998
2272;0.999999998
2274;0.999999998
2276;0.999999998
2278;0.999999998
2280;0.999999998
2282;0.999999998
2284;0.999999999
2286;0.999999999
2288;0.999999999
2290;0.999999999
2292;0.999999999
2294;0.999999999
2296;0.999999999
2298;0.999999999
2300;0.999999999
2302;0.999999999
2304;0.999999999
2306;0.999999999
2308;0.999999999
2310;0.999999999
2312;0.999999999
2314;0.999999999
2316;0.999999999
2318;0.999999999
2320;1
2322;1
2324;1
2326;1
2328;1
2330;1
2332;1
2334;1
2336;1
2338;1
2340;1
2342;1
2344;1
2346;1
2348;1
2350;1
2352;1
2354;1
2356;1
2358;1
2360;1
2362;1
2364;1
2366;1
2368;1
2370;1
2372;1
2374;1
2376;1
2378;1
2380;1
2382;1
2384;1
2386;1
2388;1
2390;1
2392;1
2394;1
2396;1
2398;1
2400;1
2402;1
2404;1
2406;1
2408;1
2410;1
2412;1
2414;1
2416;1
2418;1
2420;1
2422;1
2424;1
2426;1
2428;1
2430;1
2432;1
2434;1
2436;1
2438;1
2440;1
2442;1
2444;1
2446;1
2448;1
2450;1
2452;1
2454;1
2456;1
2458;1
2460;1
2462;1
2464;1
2466;1
2468;1
2470;1
2472;1
2474;1
2476;1
2478;1
2480;1
2482;1
2484;1
2486;1
2488;1
2490;1
2492;1
2494;1
2496;1
2498;1
2500;1
2502;1
2504;1
2506;1
2508;1
2510;1
2512;1
2514;1
2516;1
2518;1
2520;1
2522;1
2524;1
2526;1
2528;1
2530;1
2532;1
2534;1
2536;1
2538;1
2540;1
2542;1
2544;1
2546;1
2548;1
2550;1
2552;1
2554;1
2556;1
2558;1
2560;1
2562;1
2564;1
2566;1
2568;1
2570;1
2572;1
2574;1
2576;1
2578;1
2580;1
2582;1
2584;1
2586;1
2588;1
2590;1
2592;1
2594;1
2596;1
2598;1
2600;1
2602;1
2604;1
2606;1
2608;1
2610;1
2612;1
2614;1
2616;1
2618;1
2620;1
2622;1
2624;1
2626;1
2628;1
2630;1
2632;1
2634;1
2636;1
2638;1
2640;1
2642;1
2644;1
2646;1
2648;1
2650;1
2652;1
2654;1
2656;1
2658;1
2660;1
2662;1
2664;1
2666;1
2668;1
2670;1
2672;1
2674;1
2676;1
2678;1
2680;1
2682;1
2684;1
2686;1
2688;1
2690;1
2692;1
2694;1
2696;1
2698;1
2700;1
2702;1
2704;1
2706;1
2708;1
2710;1
2712;1
2714;1
2716;1
2718;1
2720;1
2722;1
2724;1
2726;1
2728;1
2730;1
2732;1
2734;1
2736;1
2738;1
2740;1
2742;1
2744;1
2746;1
2748;1
2750;1
2752;1
2754;1
2756;1
2758;1
2760;1
2762;1
2764;1
2766;1
2768;1
2770;1
2772;1
2774;1
2776;1
2778;1
2780;1
2782;1
2784;1
2786;1
2788;1
2790;1
2792;1
2794;1
2796;1
2798;1
2800;1
2802;1
2804;1
2806;1
2808;1
2810;1
2812;1
2814;1
2816;1
2818;1
2820;1
2822;1
2824;1
2826;1
2828;1
2830;1
2832;1
2834;1
2836;1
2838;1
2840;1
2842;1
2844;1
2846;1
2848;1
2850;1
2852;1
2854;1
2856;1
2858;1
2860;1
2862;1
2864;1
2866;1
2868;1
2870;1
2872;1
2874;1
2876;1
2878;1
2880;1
2882;1
2884;1
2886;1
2888;1
2890;1
2892;1
2894;1
2896;1
2898;1
2900;1
2902;1
2904;1
2906;1
2908;1
2910;1
2912;1
2914;1
2916;1
2918;1
2920;1
2922;1
2924;1
2926;1
2928;1
2930;1
2932;1
2934;1
2936;1
2938;1
2940;1
2942;1
2944;1
2946;1
2948;1
2950;1
2952;1
2954;1
2956;1
2958;1
2960;1
2962;1
2964;1
2966;1
2968;1
2970;1
2972;1
2974;1
2976;1
2978;1
2980;1
2982;1
2984;1
2986;1
2988;1
2990;1
2992;1
2994;1
2996;1
2998;1
3000;1
3002;1
3004;1
3006;1
3008;1
3010;1
3012;1
3014;1
3016;1
3018;1
3020;1
3022;1
3024;1
3026;1
3028;1
3030;1
3032;1
3034;1
3036;1
3038;1
3040;1
3042;1
3044;1
3046;1
3048;1
3050;1
3052;1
3054;1
3056;1
3058;1
3060;1
3062;1
3064;1
3066;1
3068;1
3070;1
3072;1
3074;1
3076;1
3078;1
3080;1
3082;1
3084;1
3086;1
3088;1
3090;1
3092;1
3094;1
3096;1
3098;1
3100;1
3102;1
3104;1
3106;1
3108;1
3110;1
3112;1
3114;1
3116;1
3118;1
3120;1
3122;1
3124;1
3126;1
3128;1
3130;1
3132;1
3134;1
3136;1
3138;1
3140;1
3142;1
3144;1
3146;1
3148;1
3150;1
3152;1
3154;1
3156;1
3158;1
3160;1
3162;1
3164;1
3166;1
3168;1
3170;1
3172;1
3174;1
3176;1
3178;1
3180;1
3182;1
3184;1
3186;1
3188;1
3190;1
3192;1
3194;1
3196;1
3198;1
3200;1
3202;1
3204;1
3206;1
3208;1
3210;1
3212;1
3214;1
3216;1
3218;1
3220;1
3222;1
3224;1
3226;1
3228;1
3230;1
3232;1
3234;1
3236;1
3238;1
3240;1
3242;1
3244;1
3246;1
3248;1
3250;1
3252;1
3254;1
3256;1
3258;1
3260;1
3262;1
3264;1
3266;1
3268;1
3270;1
3272;1
3274;1
3276;1
3278;1
3280;1
3282;1
3284;1
3286;1
3288;1
3290;1
3292;1
3294;1
3296;1
3298;1
3300;1
3302;1
3304;1
3306;1
3308;1
3310;1
3312;1
3314;1
3316;1
3318;1
3320;1
3322;1
3324;1
3326;1
3328;1
3330;1
3332;1
3334;1
3336;1
3338;1
3340;1
3342;1
3344;1
3346;1
3348;1
3350;1
3352;1
3354;1
3356;1
3358;1
3360;1
3362;1
3364;1
3366;1
3368;1
3370;1
3372;1
3374;1
3376;1
3378;1
3380;1
3382;1
3384;1
3386;1
3388;1
3390;1
3392;1
3394;1
3396;1
3398;1
3400;1
3402;1
3404;1
3406;1
3408;1
3410;1
3412;1
3414;1
3416;1
3418;1
3420;1
3422;1
3424;1
3426;1
3428;1
3430;1
3432;1
3434;1
3436;1
3438;1
3440;1
3442;1
3444;1
3446;1
3448;1
3450;1
3452;1
3454;1
3456;1
3458;1
3460;1
3462;1
3464;1
3466;1
3468;1
3470;1
3472;1
3474;1
3476;1
3478;1
3480;1
3482;1
3484;1
3486;1
3488;1
3490;1
3492;1
3494;1
3496;1
3498;1
3500;1
3502;1
3504;1
3506;1
3508;1
3510;1
3512;1
3514;1
3516;1
3518;1
3520;1
3522;1
3524;1
3526;1
3528;1
3530;1
3532;1
3534;1
3536;1
3538;1
3540;1
3542;1
3544;1
3546;1
3548;1
3550;1
3552;1
3554;1
3556;1
3558;1
3560;1
3562;1
3564;1
3566;1
3568;1
3570;1
3572;1
3574;1
3576;1
3578;1
3580;1
3582;1
3584;1
3586;1
3588;1
3590;1
3592;1
3594;1
3596;1
3598;1
3600;1
3602;1
3604;1
3606;1
3608;1
3610;1
3612;1
3614;1
3616;1
3618;1
3620;1
3622;1
3624;1
3626;1
3628;1
3630;1
3632;1
3634;1
3636;1
3638;1
3640;1
3642;1
3644;1
3646;1
3648;1
3650;1
3652;1
3654;1
3656;1
3658;0.999999999
3660;0.999999999
3662;0.999999999
3664;0.999999999
3666;0.999999999
3668;0.999999999
3670;0.999999999
3672;0.999999999
3674;0.999999999
3676;0.999999999
3678;0.999999999
3680;0.999999999
3682;0.999999999
3684;0.999999999
3686;0.999999999
3688;0.999999999
3690;0.999999999
3692;0.999999999
3694;0.999999999
3696;0.999999999
3698;0.999999999
3700;0.999999999
3702;0.999999999
3704;0.999999999
3706;0.999999999
3708;0.999999999
3710;0.999999999
3712;0.999999998
3714;0.999999998
3716;0.999999998
3718;0.999999998
3720;0.999999998
3722;0.999999998
3724;0.999999998
