;novel;done;no samp;;;;comsol
;;;;;;3690;1
;;;;;;3700;1
;;;;;;3710;1
;;;;;;3720;1
;;;;;;3730;1
;;;;;;3740;1
;;;;;;3750;1
;;;;;;3760;1
;;;;;;3770;1
;;;;;;3780;1
;;;;;;3790;1
;;;;;;3800;1
;;;;;;3810;1
;;;;;;3820;1
;;;;;;3830;1
;;;;;;3840;1
;;;;;;3850;1
;;;;;;3860;1
;;;;;;3870;1
;;;;;;3880;1
;;;;;;3890;1
;;;;;;3900;1
;;;;;;3910;1
;;;;;;3920;1
;;;;;;3930;1
;;;;;;3940;1
;;;;;;3950;1
;;;;;;3960;1
;;;;;;3970;1
;;;;;;3980;1
;;;;;;3990;1
;;;;;;4000;1
;;;;;;4010;1
;;;;;;4020;1
;;;;;;4030;0.999999999
;;;;;;4040;0.999999999
;;;;;;4050;0.999999999
;;;;;;4060;0.999999999
;;;;;;4070;0.999999999
;;;;;;4080;0.999999998
;;;;;;4090;0.999999998
;;;;;;4100;0.999999998
;;;;;;4110;0.999999997
;;;;;;4120;0.999999996
;;;;;;4130;0.999999996
;;;;;;4140;0.999999995
;;;;;;4150;0.999999993
;;;;;;4160;0.999999992
;;;;;;4170;0.99999999
;;;;;;4180;0.999999988
;;;;;;4190;0.999999985
;;;;;;4200;0.999999982
;;;;;;4210;0.999999978
;;;;;;4220;0.999999973
;;;;;;4230;0.999999967
;;;;;;4240;0.99999996
;;;;;;4250;0.999999951
;;;;;;4260;0.99999994
;;;;;;4270;0.999999927
;;;;;;4280;0.999999911
;;;;;;4290;0.999999891
;;;;;;4300;0.999999866
;;;;;;4310;0.999999837
;;;;;;4320;0.9999998
;;;;;;4330;0.999999756
;;;;;;4340;0.999999702
;;;;;;4350;0.999999635
;;;;;;4360;0.999999554
;;;;;;4370;0.999999454
;;;;;;4380;0.999999333
;;;;;;4390;0.999999184
;;;;;;4400;0.999999001
;;;;;;4410;0.999998778
;;;;;;4420;0.999998504
;;;;;;4430;0.999998168
;;;;;;4440;0.999997756
;;;;;;4450;0.999997251
;;;;;;4460;0.999996632
;;;;;;4470;0.999995874
;;;;;;4480;0.999994945
;;;;;;4490;0.999993808
;;;;;;4500;0.999992417
;;;;;;4510;0.999990715
;;;;;;4520;0.999988636
;;;;;;4530;0.999986096
;;;;;;4540;0.999982995
;;;;;;4550;0.999979212
;;;;;;4560;0.999974594
;;;;;;4570;0.999968958
;;;;;;4580;0.999962078
;;;;;;4590;0.999953675
;;;;;;4600;0.999943411
;;;;;;4610;0.99993087
;;;;;;4620;0.999915543
;;;;;;4630;0.999896812
;;;;;;4640;0.99987392
;;;;;;4650;0.999845944
;;;;;;4660;0.999811759
;;;;;;4670;0.999769993
;;;;;;4680;0.999718971
;;;;;;4690;0.999656653
;;;;;;4700;0.999580545
;;;;;;4710;0.999487615
;;;;;;4720;0.999374154
;;;;;;4730;0.999235654
;;;;;;4740;0.999066608
;;;;;;4750;0.99886033
;;;;;;4760;0.998608665
;;;;;;4770;0.99830173
;;;;;;4780;0.997927488
;;;;;;4790;0.997471402
;;;;;;4800;0.996915805
;;;;;;4810;0.996239453
;;;;;;4820;0.995416593
;;;;;;4830;0.99441647
;;;;;;4840;0.993201914
;;;;;;4850;0.991728937
;;;;;;4860;0.989944601
;;;;;;4870;0.987787019
;;;;;;4880;0.985182128
;;;;;;4890;0.982044702
;;;;;;4900;0.978273558
;;;;;;4910;0.973754616
;;;;;;4920;0.968353843
;;;;;;4930;0.961924123
;;;;;;4940;0.95429494
;;;;;;4950;0.945285698
;;;;;;4960;0.934690738
;;;;;;4970;0.922302688
;;;;;;4980;0.907890927
;;;;;;4990;0.891239101
;;;;;;5000;0.87211451
;;;;;;5010;0.850324375
;;;;;;5020;0.825670623
;;;;;;5030;0.79803213
;;;;;;5040;0.767293186
;;;;;;5050;0.733468725
;;;;;;5060;0.696594778
;;;;;;5070;0.656834095
;;;;;;5080;0.614477269
;;;;;;5090;0.569950264
;;;;;;5100;0.523762762
;;;;;;5110;0.476498034
;;;;;;5120;0.428822801
;;;;;;5130;0.381461858
;;;;;;5140;0.335160928
;;;;;;5150;0.290664789
;;;;;;5160;0.248657692
;;;;;;5170;0.209687924
;;;;;;5180;0.174177002
;;;;;;5190;0.142467303
;;;;;;5200;0.11483502
;;;;;;5210;0.091362222
;;;;;;5220;0.071856121
;;;;;;5230;0.055957451
;;;;;;5240;0.043412669
;;;;;;5250;0.03375212
;;;;;;5260;0.026517807
;;;;;;5270;0.0211842
;;;;;;5280;0.017313419
;;;;;;5290;0.014473527
;;;;;;5300;0.012337164
;;;;;;5310;0.010645167
;;;;;;5320;0.009218289
;;;;;;5330;0.007947119
;;;;;;5340;0.006778018
;;;;;;5350;0.005693973
;;;;;;5360;0.004699232
;;;;;;5370;0.003806707
;;;;;;5380;0.003033443
;;;;;;5390;0.002389282
;;;;;;5400;0.001871985
;;;;;;5410;0.00146732
;;;;;;5420;0.001160266
;;;;;;5430;9.31E-04
;;;;;;5440;7.62E-04
;;;;;;5450;6.35E-04
;;;;;;5460;5.37E-04
;;;;;;5470;4.57E-04
;;;;;;5480;3.88E-04
;;;;;;5490;3.27E-04
;;;;;;5500;2.72E-04
;;;;;;5510;2.23E-04
;;;;;;5520;1.80E-04
;;;;;;5530;1.44E-04
;;;;;;5540;1.14E-04
;;;;;;5550;9.13E-05
;;;;;;5560;7.36E-05
;;;;;;5570;6.02E-05
;;;;;;5580;4.99E-05
;;;;;;5590;4.17E-05
;;;;;;5600;3.49E-05
;;;;;;5610;2.90E-05
;;;;;;5620;2.38E-05
;;;;;;5630;1.94E-05
;;;;;;5640;1.56E-05
;;;;;;5650;1.26E-05
;;;;;;5660;1.02E-05
;;;;;;5670;8.39E-06
;;;;;;5680;6.95E-06
;;;;;;5690;5.80E-06
;;;;;;5700;4.81E-06
;;;;;;5710;3.95E-06
;;;;;;5720;3.18E-06
;;;;;;5730;2.52E-06
;;;;;;5740;1.98E-06
;;;;;;5750;1.57E-06
;;;;;;5760;1.26E-06
;;;;;;5770;1.03E-06
;;;;;;5780;8.70E-07
;;;;;;5790;7.39E-07
;;;;;;5800;6.25E-07
;;;;;;5810;5.20E-07
;;;;;;5820;4.24E-07
;;;;;;5830;3.39E-07
;;;;;;5840;2.69E-07
;;;;;;5850;2.16E-07
;;;;;;5860;1.76E-07
;;;;;;5870;1.48E-07
;;;;;;5880;1.27E-07
;;;;;;5890;1.09E-07
;;;;;;5900;9.13E-08
;;;;;;5910;7.46E-08
;;;;;;5920;5.89E-08
;;;;;;5930;4.52E-08
;;;;;;5940;3.43E-08
;;;;;;5950;2.64E-08
;;;;;;5960;2.13E-08
;;;;;;5970;1.82E-08
;;;;;;5980;1.61E-08
;;;;;;5990;1.44E-08
;;;;;;6000;1.26E-08
